50, 95
100, 38
200, 63
300, 73
400, 78
500, 94
700, 99
1000, 119
2000, 176
5000, 444
10000, 14131
20000, 39690
30000, 83282
50, 437
100, 38
200, 63
300, 71
400, 81
500, 87
700, 101
1000, 123
2000, 200
5000, 423
10000, 13824
20000, 44274
30000, 80665
50, 63
100, 40
200, 65
300, 74
400, 86
500, 94
700, 110
1000, 134
2000, 211
5000, 499
10000, 10257
20000, 40610
30000, 82260
50, 80
100, 39
200, 63
300, 78
400, 82
500, 91
700, 133
1000, 128
2000, 199
5000, 471
10000, 11788
20000, 41233
30000, 81104
